yearID,teamID,team_name,wins,losses,running_average_wins,avg_weight,avg_height,roster_size,avg_games_played,median_games_played
2021,ARI,"Arizona Diamondbacks",52,110,73,209.33,73.58,64,38,24
2021,ATL,"Atlanta Braves",88,73,92,210.20,73.84,56,43,32
2021,BAL,"Baltimore Orioles",52,110,51,209.52,73.63,62,38,23
2021,BOS,"Boston Red Sox",92,70,95,212.36,73.93,56,42,28
2021,CHA,"Chicago White Sox",93,69,76,215.11,73.62,47,49,40
2021,CHN,"Chicago Cubs",71,91,83,210.16,73.61,69,36,25
2021,CIN,"Cincinnati Reds",83,79,75,208.55,73.58,55,45,27
2021,CLE,"Cleveland Indians",80,82,88,206.04,73.33,48,48,40
2021,COL,"Colorado Rockies",74,87,79,217.40,74.51,45,52,31
2021,DET,"Detroit Tigers",77,85,63,216.22,73.90,49,48,36
2021,HOU,"Houston Astros",95,67,102,209.17,73.48,52,45,27
2021,KCA,"Kansas City Royals",74,88,64,212.88,74.21,48,49,29
2021,LAA,"Los Angeles Angels of Anaheim",77,85,76,204.52,73.58,64,36,18
2021,LAN,"Los Angeles Dodgers",106,56,101,209.34,74.20,61,40,24
2021,MIA,"Miami Marlins",67,95,62,208.75,73.77,61,40,27
2021,MIL,"Milwaukee Brewers",95,67,93,212.41,73.87,61,39,26
2021,MIN,"Minnesota Twins",73,89,84,209.47,73.77,57,41,23
2021,NYA,"New York Yankees",92,70,98,211.75,73.93,59,40,22
2021,NYN,"New York Mets",77,85,80,213.86,74.31,64,38,17
2021,OAK,"Oakland Athletics",86,76,93,213.40,73.64,50,47,31
2021,PHI,"Philadelphia Phillies",82,80,81,205.56,73.75,55,44,26
2021,PIT,"Pittsburgh Pirates",61,101,71,212.91,73.77,64,37,25
2021,SDN,"San Diego Padres",79,83,72,212.46,73.74,54,46,25
2021,SEA,"Seattle Mariners",90,72,82,207.16,73.51,63,37,25
2021,SFN,"San Francisco Giants",107,55,86,207.35,73.15,54,48,29
2021,SLN,"St. Louis Cardinals",90,72,90,212.24,74.22,51,47,25
2021,TBA,"Tampa Bay Rays",100,62,95,207.85,73.97,61,39,25
2021,TEX,"Texas Rangers",60,102,68,205.67,73.78,54,42,28
2021,TOR,"Toronto Blue Jays",91,71,77,213.26,73.89,62,38,24
2021,WAS,"Washington Nationals",65,97,80,216.92,73.97,60,40,30
2019,ARI,"Arizona Diamondbacks",85,77,87,209.58,73.53,45,54,34
2019,ATL,"Atlanta Braves",97,65,86,209.84,74.30,50,48,29
2019,BAL,"Baltimore Orioles",54,108,59,214.48,73.97,58,41,23
2019,BOS,"Boston Red Sox",84,78,95,210.94,72.87,47,52,32
2019,CHA,"Chicago White Sox",72,89,67,218.19,73.62,47,49,33
2019,CHN,"Chicago Cubs",84,78,90,210.33,73.63,52,47,31
2019,CIN,"Cincinnati Reds",75,87,70,214.11,73.68,47,52,32
2019,CLE,"Cleveland Indians",93,69,95,208.43,73.93,54,43,24
2019,COL,"Colorado Rockies",71,91,83,217.72,74.02,50,49,28
2019,DET,"Detroit Tigers",47,114,58,213.28,74.08,53,44,33
2019,HOU,"Houston Astros",107,55,104,210.42,73.44,45,51,33
2019,KCA,"Kansas City Royals",59,103,66,209.61,73.92,51,44,31
2019,LAA,"Los Angeles Angels of Anaheim",72,90,77,211.11,73.42,57,43,25
2019,LAN,"Los Angeles Dodgers",106,56,101,208.91,73.52,46,52,30
